CORE-ID,CDISC Rule ID,Organization,Standard Name,Standard Version,Status,Sensitivity,Rule Type,Executability,Scope,Error Message,Output Variables,Description,Check,Operations
CDISC.ADAMIG.AD0030,30,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Record Data,Fully Executable,{'Data_Structures': {'Include': ['SUBJECT LEVEL ANALYSIS DATASET']}},Some values of SAFFN are not equal to 1 or 0,SAFFN,Raise an error when SAFFN is present and has a value that is not 1 or 0,"{'all': [{'name': 'SAFFN', 'operator': 'exists'}, {'name': 'SAFFN', 'operator': 'is_not_contained_by', 'value': [1, 0]}]}",
CDISC.ADAMIG.AD0031,31,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Record Data,Fully Executable,{'Data_Structures': {'Include': ['SUBJECT LEVEL ANALYSIS DATASET']}},Some values of RANDFN are not equal to 1 or 0,RANDFN,Raise an error when RANDFN is present and has a value that is not 1 or 0,"{'all': [{'name': 'RANDFN', 'operator': 'exists'}, {'name': 'RANDFN', 'operator': 'is_not_contained_by', 'value': [1, 0]}]}",
CDISC.ADAMIG.AD0032,32,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Record Data,Fully Executable,{'Data_Structures': {'Include': ['SUBJECT LEVEL ANALYSIS DATASET']}},Some values of ENRLFN are not equal to 1 or 0,ENRLFN,Raise an error when ENRLFN is present and has a value that is not 1 or 0,"{'all': [{'name': 'ENRLFN', 'operator': 'exists'}, {'name': 'ENRLFN', 'operator': 'is_not_contained_by', 'value': [1, 0]}]}",
CDISC.ADAMIG.AD0039,AD0039,CDISC,ADAMIG,1.3,Draft,Variable,Record Data,,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ADLB']}}",The values of ADTF are not following the DATEFL codelist,ADTF,Raise an error when a variable ends with DTF and values are not according to the DATEFL controlled terminology codelist,"{'all': [{'name': 'ADTF', 'operator': 'does_not_use_valid_codelist_terms', 'value': 'DATEFL'}]}",
CDISC.ADAMIG.AD0041,AD0041,CDISC,ADAMIG,1.3,Draft,Record,Record Data,,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ADLB']}}",Value of --DT  do not have a date format,,Raise an error when a variable ends with DT and does not have a date format,"{'all': [{'name': 'variable_type', 'operator': 'is_numeric'}, {'name': 'variable_name', 'operator': 'ends_with', 'value': 'DT'}, {'name': 'variable_name', 'operator': 'does_not_use_valid_format_terms'}]}",
CDISC.ADAMIG.AD0047,47,CDISC,ADaMIG,1.3,Draft,Dataset,Record Data,Fully Executable,"{'Datasets': {'Include': ['ADSL']}, 'Data_Structures': {'Include': ['SUBJECT LEVEL ANALYSIS DATASET']}}",SITEID is not present within ADSL,SITEID,Variable SITEID should be present in dataset ADSL,"{'all': [{'name': 'SITEID', 'operator': 'not_exists'}]}",
CDISC.ADAMIG.AD0053,53,CDISC,ADaMIG,1.3,Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ADSL', 'DM']}, 'Data_Structures': {'Include': ['ADAM OTHER', 'ALL']}}",The values of USUBJID are not present in SDTM.DM,USUBJID,Raise an error when the values of USUBJID are not present in SDTM.DM,"{'all': [{'name': 'USUBJID', 'operator': 'is_not_contained_by', 'value': '$dm_usubjid'}]}","{'operator': 'distinct', 'domain': 'DM', 'name': 'USUBJID', 'id': '$dm_usubjid'}"
CDISC.ADAMIG.AD0061,AD0061,CDISC,ADAMIG,1.3,Draft,Dataset,Domain Presence Check,,"{'Classes': {'Include': ['ADSL']}, 'Domains': {'Include': ['ADSL', 'EX']}}",SDTM.EX is present and neither TRTSDT or TRTSDTM are present,,"Raise an error when TRTSDT and/or TRTSDTM are not present, though data exist in SDTM.EX","{'all': [{'name': '$TRTSDT_EXISTS', 'operator': 'equal_to', 'value': False}, {'name': '$TRTSDTM_EXISTS', 'operator': 'equal_to', 'value': False}, {'name': 'EX', 'operator': 'exists'}]}","{'id': '$TRTSDT_EXISTS', 'domain': 'ADSL', 'name': 'TRTSDT', 'operator': 'variable_exists'},{'id': '$TRTSDTM_EXISTS', 'domain': 'ADSL', 'name': 'TRTSDTM', 'operator': 'variable_exists'}"
CDISC.ADAMIG.AD0088,88,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Dataset,Dataset Contents Check against Define XML and Library Metadata,Fully Executable,{'Data_Structures': {'Include': ['ALL']}},STUDYID is not present,,Raise an error when STUDYID is not present,"{'all': [{'name': 'STUDYID', 'operator': 'not_exists'}]}",
CDISC.ADAMIG.AD0089,89,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Dataset,Dataset Contents Check against Define XML and Library Metadata,Fully Executable,{'Data_Structures': {'Include': ['ALL']}},USUBJID is not present,,Raise an error when USUBJID is not present,"{'all': [{'name': 'USUBJID', 'operator': 'not_exists'}]}",
CDISC.SDTMIG.CG0001,CG0001,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}","DOMAIN Code is not a published DOMAIN Code in CDISC Controlled Terminology, confirm if domain is a custom domain",,DOMAIN name should use a SDTM-specified standard domain name and prefixes where applicable,"{'all': [{'name': 'DOMAIN', 'operator': 'uses_valid_codelist_terms', 'value': 'DOMAIN'}]}",
CDISC.SDTMIG.CG0002,CG0002,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Dataset,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}","--DUR exists in a dataset, confirm collected and not derived.",,"Raise a message when --DUR exists in a dataset, confirm collected and not derived.","{'all': [{'name': '--DUR', 'operator': 'exists'}]}",
CDISC.SDTMIG.CG0006,CG0006,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}","--DY is not calculated correctly even though the date portion of --DTC is complete, the date portion of DM.RFSTDTC is a complete date, and --DY is not empty.","--DY,--DTC,RFSTDTC",Raise an error when --DY is not calculated as per the study day algorithm as a non-zero integer value when the date portion of --DTC is complete and the date portion of DM.RFSTDTC is a complete date AND --DY is not empty,"{'all': [{'name': '--DY', 'operator': 'non_empty'}, {'name': '--DTC', 'operator': 'is_complete_date'}, {'name': 'RFSTDTC', 'operator': 'is_complete_date'}, {'name': '--DY', 'operator': 'not_equal_to', 'value': '$val_dy'}]}","{'name': 'RFSTDTC', 'domain': 'DM', 'operator': 'dy', 'id': '$val_dy'}"
CDISC.SDTMIG.CG0006,CG0006,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}","--DY is not calculated correctly even though the date portion of --DTC is complete, the date portion of DM.RFSTDTC is a complete date, and --DY is not empty.","--DY,--DTC,RFSTDTC",Raise an error when --DY is not calculated as per the study day algorithm as a non-zero integer value when the date portion of --DTC is complete and the date portion of DM.RFSTDTC is a complete date AND --DY is not empty,"{'all': [{'name': '--DY', 'operator': 'exists'}, {'name': '--DY', 'operator': 'non_empty'}, {'name': '--DTC', 'operator': 'exists'}, {'name': '--DTC', 'operator': 'is_complete_date'}, {'name': 'RFSTDTC', 'operator': 'is_complete_date'}, {'name': '--DY', 'operator': 'not_equal_to', 'value': '$val_dy'}]}","{'name': '--DTC', 'domain': 'LB', 'operator': 'dy', 'id': '$val_dy'}"
CDISC.SDTMIG.CG0007,CG0007,CDISC,SDTMIG,"3.4,3.3,3.2",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Exclude': ['DM']}}","The date portion of --DTC is not complete date or the date portion of DM.RFSTDTC is not complete date, but --DY is not empty","--DY,--DTC,RFSTDTC","Raise an error when the date portion of --DTC is an incomplete date or the date portion of DM.RFSTDTC is an incomplete date, but --DY is not empty","{'all': [{'name': '--DY', 'operator': 'non_empty'}, {'any': [{'name': '--DTC', 'operator': 'is_incomplete_date'}, {'name': 'RFSTDTC', 'operator': 'is_incomplete_date'}]}]}",
CDISC.SDTMIG.CG0009,CG0009,CDISC,SDTMIG,"3.4,3.3,3.2",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}",EPOCH is not in TA.EPOCH,EPOCH,Raise an error when EPOCH is not in TA.EPOCH,"{'all': [{'name': 'EPOCH', 'operator': 'is_not_contained_by', 'value': '$ta_epoch'}, {'name': 'EPOCH', 'operator': 'non_empty'}]}","{'domain': 'TA', 'id': '$ta_epoch', 'name': 'EPOCH', 'operator': 'distinct'}"
CDISC.SDTMIG.CG0010,CG0010,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Dataset,Variable Metadata Check,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}","Metadata attribute of variable role does not equal the IG role for domain in IG, or model role (for custom domains)",,"Trigger warning when metadata attribute of variable role does not equal the IG role for domain in IG, or model role (for custom domains)","{'all': [{'name': None, 'operator': 'not_equal_to', 'value': None}, {'name': None, 'operator': 'not_equal_to', 'value': 'Model Role for custom domains'}]}",
CDISC.SDTMIG.CG0011,CG0011,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Dataset,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}",Variable format does not match SDTM-specified controlled terminology or format guidelines for variables (when provided),,Trigger error when variable format does not match SDTM-specified controlled terminology or format guidelines for variables (when provided),"{'all': [{'name': None, 'operator': 'not_equal_to', 'value': None}]}",
CDISC.SDTMIG.CG0012,CG0012,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Dataset,Variable Metadata Check against Define XML,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}",Variable type does not match IG Type or Model Type,,Trigger error when variable type does not match IG Type (for domains in IG) or Model Type (custom domains),"{'all': [{'name': None, 'operator': None}, {'name': None, 'operator': None}]}",
CDISC.SDTMIG.CG0013,CG0013,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Record,Variable Metadata Check against Define XML,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}",Variable is not an allowed variable for an Observation Class,,Trigger error when variable is not an allowed variable for an Observation Class,"{'all': [{'name': 'variable_name', 'operator': 'not_equal_to', 'value': 'define_variable_name'}]}",
CDISC.SDTMIG.CG0014,CG0014,CDISC,SDTMIG,"3.2,3.3,3.4",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}",,,,{'all': []},
CDISC.SDTMIG.CG0015,CG0015,CDISC,SDTMIG,"3.2,3.3,3.4",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}",,,,{'all': []},
CDISC.SDTMIG.CG0016,CG0016,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Dataset,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}",SDTM Expected variable not found in the dataset.,,Raise an error when Variable Core Status = Expected and Variable does not exist.,"{'all': [{'name': 'CORE', 'operator': 'equal_to', 'value': 'Exp'}, {'name': 'GEN', 'operator': 'not_exists'}]}",
CDISC.SDTMIG.CG0017,CG0017,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Dataset,Variable Metadata Check,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'include_split_datasets': True, 'Exclude': ['SUPP--', 'AP--']}}",Split dataset name is not 3 or 4 characters in length,,Split datasets (excluding supplemental qualifiers) is expected to have a have a length of 3 or 4 characters,"{'any': [{'name': 'dataset_name', 'operator': 'shorter_than', 'value': 3}, {'name': 'dataset_name', 'operator': 'longer_than', 'value': 4}]}",
CDISC.SDTMIG.CG0018,CG0018,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Dataset,Dataset Metadata Check,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'include_split_datasets': True, 'Include': ['SUPP--']}}",Supplemental qualifier dataset associated with a split dataset is greater than 8 characters in length,,"When a supplemental qualifier dataset is associated with a split dataset, the dataset name length must not be greater than 8 characters.","{'all': [{'name': 'dataset_name', 'operator': 'longer_than', 'value': 8}]}",
CDISC.SDTMIG.CG0019,CG0019,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Dataset,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}",Records are not unique as per sponsor defined key variables as documented in the define.xml,,Trigger error if records are not unique as per sponsor defined key variables as documented in the define.xml,"{'all': [{'name': '--SEQ', 'operator': 'is_not_unique_set', 'value': ['DOMAIN', 'USUBJID', '--TESTCD']}]}",
CDISC.SDTMIG.CG0020,CG0020,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}","Variable is not equal to value within the extensible codelist, nor equal to MULTIPLE",,"Trigger error if the value of a variable, which is associated with an extensible codelist, is in the associated codelist or equal to 'MULTIPLE'","{'all': [{'name': None, 'operator': None}, {'name': None, 'operator': 'is_not_contained_by', 'value': ['codelist']}, {'name': None, 'operator': 'not_equal_to', 'value': 'MULTIPLE'}]}",
CDISC.SDTMIG.CG0021,CG0021,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}","Variable is not equal to value within the extensible codelist, nor equal to OTHER",,"Trigger error if the value of a variable, which is associated with an extensible codelist, is in the associated codelist or equal to 'OTHER'","{'all': [{'name': None, 'operator': None}, {'name': None, 'operator': 'is_not_contained_by', 'value': ['codelist']}, {'name': None, 'operator': 'not_equal_to', 'value': 'OTHER'}]}",
CDISC.SDTMIG.CG0022,CG0022,CDISC,SDTMIG,"3.4,3.3,3.2",Draft,Dataset,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}",--LNKGRP variable is not found in any of the other domains.,--LNKGRP,Verify that when --LNKGRP is present in one domain it is also present in another domain.,"{'all': [{'name': '--LNKGRP', 'operator': 'value_does_not_have_multiple_references', 'value': '$VALUE_COUNTS'}, {'name': '--LNKGRP', 'operator': 'non_empty'}]}","{'id': '$VALUE_COUNTS', 'name': '--LNKGRP', 'operator': 'variable_value_count'}"
CDISC.SDTMIG.CG0024,CG0024,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Domain,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}",--LNKID is present in only one domain.,,"When --LNKID is present in a domain, it must also be present in another domain","{'all': [{'name': '--LNKGRP', 'operator': 'multiple_references', 'value': '$VALUE_COUNTS'}]}","{'id': '$VALUE_COUNTS', 'name': '--LNKGRP', 'operator': 'variable_value_counts'}"
CDISC.SDTMIG.CG0028,CG0028,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Domain,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'include_split_datasets': True, 'Exclude': ['TS']}}","--SEQ is not a unique number per USUBJID per domain, nor a unique number per POOLID per domain, including when the domain is split into multiple files","POOLID,SEQ","Excluding TS.TSSEQ, --SEQ must be a unique number per USUBJID per domain, or a unique number per POOLID per domain, including when the domain is split into multiple files.","{'all': [{'name': '--SEQ', 'operator': 'is_not_unique_set', 'value': '-""DOMAIN"" -""USUBJID""'}, {'name': '--SEQ', 'operator': 'is_not_unique_set', 'value': '-POOLID'}]}",
CDISC.SDTMIG.CG0035,CG0035,CDISC,SDTMIG,"3.4,3.3,3.2",Draft,Dataset,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}",VISIT and VISITNUM do not have a one-to-one relationship,"VISITNUM,VISIT",Trigger error when VISITNUM is present in TV.VISITNUM and does not have a one-to-one relationship with VISIT,"{'all': [{'name': 'VISITNUM', 'operator': 'is_contained_by', 'value': '$tv_visitnum'}, {'name': 'VISIT', 'operator': 'is_not_unique_relationship', 'value': 'VISITNUM'}]}","{'domain': 'TV', 'id': '$tv_visitnum', 'name': 'VISITNUM', 'operator': 'distinct'}"
